Redirect String (DO NOT include the domain),Destination URL (Make sure to INCLUDE http://)
redirect1,http://destination-domain.com
redirect2,http://destination-domain.com/goes-here
redirect3,http://resources.emcp.com/coming-soon/
example_redirects_4,http://resources.emcp.com/coming-soon/
example_redirects_5,http://resources.emcp.com/coming-soon/
this,http://resources.emcp.com/coming-soon/
is,http://resources.emcp.com/coming-soon/
where,http://resources.emcp.com/coming-soon/
you,http://resources.emcp.com/coming-soon/
enter,http://resources.emcp.com/coming-soon/
redirect,http://resources.emcp.com/coming-soon/
strings,http://resources.emcp.com/coming-soon/
please,http://resources.emcp.com/coming-soon/
no,http://resources.emcp.com/coming-soon/
special,http://resources.emcp.com/coming-soon/
characters,http://resources.emcp.com/coming-soon/
or,http://resources.emcp.com/coming-soon/
duplicates,http://resources.emcp.com/coming-soon/
